id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;black;1;1;Kwazulu Natal;male;15;Trace TV;2025-11-18T01:48:24.000Z
1;indian_asian;1;1;Gauteng;male;26;ICC Cricket World Cup 2011;2025-11-18T01:48:08.000Z
1;coloured;1;1;Western Cape;male;37;E! Entertainment;2025-11-18T01:48:04.000Z
1;indian_asian;1;1;Free State;male;9;ICC Cricket World Cup 2011;2025-11-18T01:47:28.000Z
1;white;1;1;Gauteng;male;29;ICC Cricket World Cup 2011;2025-11-18T01:47:24.000Z
1;white;1;1;Gauteng;male;44;Supersport Live Events;2025-11-18T01:47:06.000Z
1;indian_asian;1;1;Gauteng;male;34;E! Entertainment;2025-11-18T01:47:02.000Z
1;black;1;1;Gauteng;male;26;Channel O;2025-11-18T01:47:00.000Z
1;coloured;1;1;Western Cape;male;35;Supersport Live Events;2025-11-18T01:44:38.000Z
1;indian_asian;1;1;Gauteng;male;28;ICC Cricket World Cup 2011;2025-11-18T01:44:04.000Z
1;white;1;1;Western Cape;male;41;Supersport Live Events;2025-11-18T01:43:36.000Z
1;None;1;1;Gauteng;male;29;ICC Cricket World Cup 2011;2025-11-18T01:42:58.000Z
1;indian_asian;1;1;Mpumalanga;female;25;Supersport Live Events;2025-11-18T01:42:12.000Z
1;black;1;1;Kwazulu Natal;male;39;Channel O;2025-11-18T01:42:03.000Z
1;indian_asian;1;1;Mpumalanga;male;31;ICC Cricket World Cup 2011;2025-11-18T01:41:50.000Z
1;indian_asian;1;1;Mpumalanga;male;40;Supersport Live Events;2025-11-18T01:41:46.000Z
1;black;1;1;Kwazulu Natal;male;32;Supersport Live Events;2025-11-18T01:41:28.000Z
1;coloured;1;1;Gauteng;male;28;Channel O;2025-11-18T01:40:36.000Z
1;black;1;1;Eastern Cape;male;45;Trace TV;2025-11-18T01:40:18.000Z
1;indian_asian;1;1;Gauteng;male;29;Supersport Live Events;2025-11-18T01:40:10.000Z
1;black;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T01:39:58.000Z
1;indian_asian;1;1;Limpopo;male;25;ICC Cricket World Cup 2011;2025-11-18T01:39:52.000Z
1;black;1;1;Limpopo;male;36;SuperSport Blitz;2025-11-18T01:39:50.000Z
1;indian_asian;1;1;Gauteng;male;32;Supersport Live Events;2025-11-18T01:39:42.000Z
1;None;1;1;None;None;0;Channel O;2025-11-18T01:39:24.000Z
1;indian_asian;1;1;Western Cape;male;39;Supersport Live Events;2025-11-18T01:39:20.000Z
1;None;1;1;Mpumalanga;male;34;ICC Cricket World Cup 2011;2025-11-18T01:38:10.000Z
1;black;1;1;Western Cape;male;38;Channel O;2025-11-18T01:36:39.000Z
1;indian_asian;1;1;Gauteng;male;32;ICC Cricket World Cup 2011;2025-11-18T01:36:04.000Z
1;indian_asian;1;1;Gauteng;male;41;Supersport Live Events;2025-11-18T01:36:04.000Z
1;black;1;1;Northern Cape;male;33;Channel O;2025-11-18T01:35:57.000Z
1;coloured;1;1;Western Cape;male;36;Cartoon Network;2025-11-18T01:35:20.000Z
1;coloured;1;1;Western Cape;male;47;Supersport Live Events;2025-11-18T01:35:10.000Z
1;black;1;1;Gauteng;male;39;CNN;2025-11-18T01:35:01.000Z
1;None;1;1;None;None;0;Boomerang;2025-11-18T01:34:56.000Z
1;coloured;1;1;Eastern Cape;male;29;Supersport Live Events;2025-11-18T01:34:24.000Z
1;black;1;1;Gauteng;male;25;Channel O;2025-11-18T01:34:15.000Z
1;indian_asian;1;1;Gauteng;male;30;Supersport Live Events;2025-11-18T01:33:50.000Z
1;indian_asian;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T01:33:12.000Z
1;indian_asian;1;1;Gauteng;male;29;ICC Cricket World Cup 2011;2025-11-18T01:32:40.000Z
1;black;1;1;Western Cape;male;34;Trace TV;2025-11-18T01:32:36.000Z
1;black;1;1;Eastern Cape;female;32;Cartoon Network;2025-11-18T01:32:32.000Z
1;None;1;1;None;None;0;Supersport Live Events;2025-11-18T01:32:30.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T01:32:18.000Z
1;indian_asian;1;1;Gauteng;male;32;ICC Cricket World Cup 2011;2025-11-18T01:32:08.000Z
1;coloured;1;1;Western Cape;male;59;Supersport Live Events;2025-11-18T01:32:04.000Z
1;indian_asian;1;1;Limpopo;male;29;ICC Cricket World Cup 2011;2025-11-18T01:31:38.000Z
1;indian_asian;1;1;Free State;male;9;ICC Cricket World Cup 2011;2025-11-18T01:31:36.000Z
1;white;1;1;Mpumalanga;male;26;Supersport Live Events;2025-11-18T01:31:14.000Z
1;black;1;1;North West;male;23;E! Entertainment;2025-11-18T01:31:08.000Z
1;None;1;1;Gauteng;male;42;Supersport Live Events;2025-11-18T01:30:44.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T01:30:34.000Z
1;indian_asian;1;1;Free State;male;9;ICC Cricket World Cup 2011;2025-11-18T01:30:26.000Z
1;indian_asian;1;1;Kwazulu Natal;male;48;ICC Cricket World Cup 2011;2025-11-18T01:30:24.000Z
1;coloured;1;1;Eastern Cape;male;20;Supersport Live Events;2025-11-18T01:30:12.000Z
1;indian_asian;1;1;Kwazulu Natal;male;28;Trace TV;2025-11-18T01:29:54.000Z
1;indian_asian;1;1;Gauteng;male;24;ICC Cricket World Cup 2011;2025-11-18T01:29:52.000Z
1;white;1;1;Western Cape;male;31;Supersport Live Events;2025-11-18T01:29:32.000Z
1;black;1;1;Kwazulu Natal;female;37;Channel O;2025-11-18T01:29:18.000Z
1;coloured;1;1;Western Cape;male;22;Supersport Live Events;2025-11-18T01:29:08.000Z
1;black;1;1;Mpumalanga;male;29;Supersport Live Events;2025-11-18T01:28:56.000Z
1;black;1;1;Eastern Cape;male;23;Supersport Live Events;2025-11-18T01:28:34.000Z
1;None;1;1;Eastern Cape;female;11;Trace TV;2025-11-18T01:28:33.000Z
1;coloured;1;1;Western Cape;male;49;ICC Cricket World Cup 2011;2025-11-18T01:28:08.000Z
1;white;1;1;Gauteng;male;30;ICC Cricket World Cup 2011;2025-11-18T01:27:58.000Z
1;black;1;1;Northern Cape;female;25;Trace TV;2025-11-18T01:27:45.000Z
1;other;1;1;Western Cape;male;26;Trace TV;2025-11-18T01:27:36.000Z
1;None;1;1;Mpumalanga;male;31;Supersport Live Events;2025-11-18T01:27:28.000Z
1;None;1;1;Mpumalanga;male;46;CNN;2025-11-18T01:27:09.000Z
1;indian_asian;1;1;Gauteng;male;26;ICC Cricket World Cup 2011;2025-11-18T01:27:00.000Z
